especie,apertura,maximo,minimo,ultimo,fecha,cierre,timestamp,usd_apertura,usd_maximo,usd_minimo,usd_cierre,volumen
"DOLAR CCL",0,0,0,185.38,2021-09-20,185.38,1632106800,0,0,0,0,0
"DOLAR CCL",0,0,0,186.86,2021-09-21,186.86,1632193200,0,0,0,0,0
"DOLAR CCL",0,0,0,188.39,2021-09-22,188.39,1632279600,0,0,0,0,0
"DOLAR CCL",0,0,0,190.6,2021-09-23,190.6,1632366000,0,0,0,0,0
"DOLAR CCL",0,0,0,192.24,2021-09-24,192.24,1632452400,0,0,0,0,0
"DOLAR CCL",0,0,0,193.99,2021-09-27,193.99,1632711600,0,0,0,0,0
"DOLAR CCL",0,0,0,194.67,2021-09-28,194.67,1632798000,0,0,0,0,0
"DOLAR CCL",0,0,0,194.34,2021-09-29,194.34,1632884400,0,0,0,0,0
"DOLAR CCL",0,0,0,192.15,2021-09-30,192.15,1632970800,0,0,0,0,0
"DOLAR CCL",0,0,0,192.62,2021-10-01,192.62,1633057200,0,0,0,0,0
"DOLAR CCL",0,0,0,192.82,2021-10-04,192.82,1633316400,0,0,0,0,0
"DOLAR CCL",0,0,0,190.37,2021-10-05,190.37,1633402800,0,0,0,0,0
"DOLAR CCL",0,0,0,190.89,2021-10-06,190.89,1633489200,0,0,0,0,0
"DOLAR CCL",0,0,0,192.05,2021-10-07,192.05,1633575600,0,0,0,0,0
"DOLAR CCL",0,0,0,191.59,2021-10-12,191.59,1634007600,0,0,0,0,0
"DOLAR CCL",0,0,0,191.6,2021-10-13,191.6,1634094000,0,0,0,0,0
"DOLAR CCL",0,0,0,192.94,2021-10-14,192.94,1634180400,0,0,0,0,0
"DOLAR CCL",0,0,0,193.47,2021-10-15,193.47,1634266800,0,0,0,0,0
"DOLAR CCL",0,0,0,194.43,2021-10-18,194.43,1634526000,0,0,0,0,0
"DOLAR CCL",0,0,0,195.89,2021-10-19,195.89,1634612400,0,0,0,0,0
"DOLAR CCL",0,0,0,195.88,2021-10-20,195.88,1634698800,0,0,0,0,0
"DOLAR CCL",0,0,0,198.07,2021-10-21,198.07,1634785200,0,0,0,0,0
"DOLAR CCL",0,0,0,200.51,2021-10-22,200.51,1634871600,0,0,0,0,0
"DOLAR CCL",0,0,0,200.21,2021-10-25,200.21,1635130800,0,0,0,0,0
"DOLAR CCL",0,0,0,201.49,2021-10-26,201.49,1635217200,0,0,0,0,0
"DOLAR CCL",0,0,0,202,2021-10-27,202,1635303600,0,0,0,0,0
"DOLAR CCL",0,0,0,205.03,2021-10-28,205.03,1635390000,0,0,0,0,0
"DOLAR CCL",0,0,0,210.13,2021-10-29,210.13,1635476400,0,0,0,0,0
"DOLAR CCL",0,0,0,214.84,2021-11-01,214.84,1635735600,0,0,0,0,0
"DOLAR CCL",0,0,0,216.98,2021-11-02,216.98,1635822000,0,0,0,0,0
"DOLAR CCL",215.85,215.85,215.85,215.85,2021-11-03,215.85,1635908400,1,1,1,0,0
"DOLAR CCL",216.65,216.65,216.65,216.65,2021-11-04,216.65,1635994800,1,1,1,0,0
"DOLAR CCL",218.07,218.07,218.07,218.07,2021-11-05,218.07,1636081200,1,1,1,0,0
"DOLAR CCL",216.4,216.4,216.4,216.4,2021-11-08,216.4,1636340400,1,1,1,0,0
"DOLAR CCL",212.43,212.43,212.43,212.43,2021-11-09,212.43,1636426800,1,1,1,0,0
"DOLAR CCL",212.43,214.63,210.1,213.81,2021-11-10,213.81,1636513200,0.99,1,0.98,0,0
"DOLAR CCL",213.81,220.38,212.01,214.71,2021-11-11,214.71,1636599600,1,1.03,0.99,0,0
"DOLAR CCL",214.71,217.9,214.19,216.88,2021-11-12,216.88,1636686000,0.99,1,0.99,0,0
"DOLAR CCL",216.88,217.28,208.02,208.67,2021-11-15,208.67,1636945200,1.04,1.04,1,0,0
"DOLAR CCL",208.67,211.97,208.06,211.85,2021-11-16,211.85,1637031600,0.98,1,0.98,0,0
"DOLAR CCL",211.85,213.5,210.87,212.66,2021-11-17,212.66,1637118000,1,1,0.99,0,0
"DOLAR CCL",212.66,214.8,211.55,213.32,2021-11-18,213.32,1637204400,1,1.01,0.99,0,0
"DOLAR CCL",214.29,216.81,211.61,215.99,2021-11-19,215.99,1637290800,0.99,1,0.98,0,0
"DOLAR CCL",214.67,217.42,213.63,216.71,2021-11-23,216.71,1637636400,0.99,1,0.99,0,0
"DOLAR CCL",216.71,217.31,214.84,216.04,2021-11-24,216.04,1637722800,1,1.01,0.99,0,0
"DOLAR CCL",218.61,221,207.47,213.78,2021-11-25,213.78,1637809200,1.02,1.03,0.97,0,0
"DOLAR CCL",213.78,218.88,207.44,211.66,2021-11-26,211.66,1637895600,1.01,1.03,0.98,0,0
"DOLAR CCL",211.66,215.29,209.19,210.79,2021-11-29,210.79,1638154800,1,1.02,0.99,0,0
"DOLAR CCL",210.79,217.06,210.13,216.49,2021-11-30,216.49,1638241200,0.97,1,0.97,0,0
"DOLAR CCL",216.49,220.5,212.17,220.41,2021-12-01,220.41,1638327600,0.98,1,0.96,0,0
"DOLAR CCL",220.41,220.41,215.73,219.71,2021-12-02,219.71,1638414000,1,1,0.98,0,0
"DOLAR CCL",219.71,221.88,217.68,218.34,2021-12-03,218.34,1638500400,1.01,1.02,1,0,0
"DOLAR CCL",218.34,222.26,217.68,219.77,2021-12-06,219.77,1638759600,0.99,1.01,0.99,0,0
"DOLAR CCL",219.77,219.95,214.96,216.63,2021-12-07,216.63,1638846000,1.01,1.02,0.99,0,0
"DOLAR CCL",217.45,217.45,209.05,211.27,2021-12-09,211.27,1639018800,1.03,1.03,0.99,0,0
"DOLAR CCL",211.27,213.27,207.96,208.29,2021-12-10,208.29,1639105200,1.01,1.02,1,0,0
"DOLAR CCL",208.29,211.53,202.66,204.03,2021-12-13,204.03,1639364400,1.02,1.04,0.99,0,0
"DOLAR CCL",204.03,205.33,201.96,204.54,2021-12-14,204.54,1639450800,1,1,0.99,0,0
"DOLAR CCL",204.54,205.24,197.71,199.79,2021-12-15,199.79,1639537200,1.02,1.03,0.99,0,0
"DOLAR CCL",199.79,203.43,198.74,201.28,2021-12-16,201.28,1639623600,0.99,1.01,0.99,0,0
"DOLAR CCL",201.24,207.08,201.24,206.41,2021-12-17,206.41,1639710000,0.97,1,0.97,0,0
"DOLAR CCL",207.08,208.54,201.9,206.18,2021-12-20,206.18,1639969200,1,1.01,0.98,0,0
"DOLAR CCL",206.29,208.91,206.29,208.37,2021-12-21,208.37,1640055600,0.99,1,0.99,0,0
"DOLAR CCL",208.37,210,207.48,207.5,2021-12-22,207.5,1640142000,1,1.01,1,0,0
"DOLAR CCL",207.5,210.55,203.25,203.44,2021-12-23,203.44,1640228400,1.02,1.03,1,0,0
