especie,apertura,maximo,minimo,ultimo,fecha,cierre,timestamp,usd_apertura,usd_maximo,usd_minimo,usd_cierre,volumen
"DOLAR MEP",0,0,0,176.45,2021-09-20,176.45,1632106800,0,0,0,0,0
"DOLAR MEP",0,0,0,176.84,2021-09-21,176.84,1632193200,0,0,0,0,0
"DOLAR MEP",0,0,0,177.41,2021-09-22,177.41,1632279600,0,0,0,0,0
"DOLAR MEP",0,0,0,179.92,2021-09-23,179.92,1632366000,0,0,0,0,0
"DOLAR MEP",0,0,0,179.92,2021-09-24,179.92,1632452400,0,0,0,0,0
"DOLAR MEP",0,0,0,179.94,2021-09-27,179.94,1632711600,0,0,0,0,0
"DOLAR MEP",0,0,0,180.05,2021-09-28,180.05,1632798000,0,0,0,0,0
"DOLAR MEP",0,0,0,179.45,2021-09-29,179.45,1632884400,0,0,0,0,0
"DOLAR MEP",0,0,0,176.63,2021-09-30,176.63,1632970800,0,0,0,0,0
"DOLAR MEP",0,0,0,178.34,2021-10-01,178.34,1633057200,0,0,0,0,0
"DOLAR MEP",0,0,0,177.65,2021-10-04,177.65,1633316400,0,0,0,0,0
"DOLAR MEP",0,0,0,177.16,2021-10-05,177.16,1633402800,0,0,0,0,0
"DOLAR MEP",0,0,0,181.28,2021-10-06,181.28,1633489200,0,0,0,0,0
"DOLAR MEP",0,0,0,182.66,2021-10-07,182.66,1633575600,0,0,0,0,0
"DOLAR MEP",0,0,0,181.62,2021-10-12,181.62,1634007600,0,0,0,0,0
"DOLAR MEP",0,0,0,184.12,2021-10-13,184.12,1634094000,0,0,0,0,0
"DOLAR MEP",0,0,0,185.65,2021-10-14,185.65,1634180400,0,0,0,0,0
"DOLAR MEP",0,0,0,187.28,2021-10-15,187.28,1634266800,0,0,0,0,0
"DOLAR MEP",0,0,0,187.57,2021-10-18,187.57,1634526000,0,0,0,0,0
"DOLAR MEP",0,0,0,189.48,2021-10-19,189.48,1634612400,0,0,0,0,0
"DOLAR MEP",0,0,0,187.81,2021-10-20,187.81,1634698800,0,0,0,0,0
"DOLAR MEP",0,0,0,188.58,2021-10-21,188.58,1634785200,0,0,0,0,0
"DOLAR MEP",0,0,0,188.86,2021-10-22,188.86,1634871600,0,0,0,0,0
"DOLAR MEP",0,0,0,190.21,2021-10-25,190.21,1635130800,0,0,0,0,0
"DOLAR MEP",0,0,0,191.64,2021-10-26,191.64,1635217200,0,0,0,0,0
"DOLAR MEP",0,0,0,193.73,2021-10-27,193.73,1635303600,0,0,0,0,0
"DOLAR MEP",0,0,0,193.7,2021-10-28,193.7,1635390000,0,0,0,0,0
"DOLAR MEP",0,0,0,198.47,2021-10-29,198.47,1635476400,0,0,0,0,0
