especie,apertura,maximo,minimo,ultimo,fecha,cierre,timestamp,usd_apertura,usd_maximo,usd_minimo,usd_cierre,volumen
"DOLAR OFICIAL",103.5,103.75,103.5,103.75,2021-09-20,103.75,1632106800,0.56,0.56,0.56,0,0
"DOLAR OFICIAL",103.75,103.75,103.75,103.75,2021-09-21,103.75,1632193200,0.56,0.56,0.56,0,0
"DOLAR OFICIAL",103.75,103.75,103.75,103.75,2021-09-22,103.75,1632279600,0.55,0.55,0.55,0,0
"DOLAR OFICIAL",103.75,103.75,103.75,103.75,2021-09-23,103.75,1632366000,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",103.75,103.75,103.75,103.75,2021-09-24,103.75,1632452400,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",103.75,103.75,103.75,103.75,2021-09-27,103.75,1632711600,0.53,0.53,0.53,0,0
"DOLAR OFICIAL",103.75,103.75,103.75,103.75,2021-09-28,103.75,1632798000,0.53,0.53,0.53,0,0
"DOLAR OFICIAL",103.75,103.75,103.75,103.75,2021-09-29,103.75,1632884400,0.53,0.53,0.53,0,0
"DOLAR OFICIAL",103.75,104,103.75,104,2021-09-30,104,1632970800,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104,104,104,104,2021-10-01,104,1633057200,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104,104,104,104,2021-10-04,104,1633316400,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104,104.25,104,104.25,2021-10-05,104.25,1633402800,0.55,0.55,0.55,0,0
"DOLAR OFICIAL",104.25,104.25,104.25,104.25,2021-10-06,104.25,1633489200,0.55,0.55,0.55,0,0
"DOLAR OFICIAL",104.25,104.25,104.25,104.25,2021-10-07,104.25,1633575600,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104.25,104.25,104.25,104.25,2021-10-08,104.25,1633662000,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104.25,104.25,104.25,104.25,2021-10-11,104.25,1633921200,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104.25,104.25,104.25,104.25,2021-10-12,104.25,1634007600,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104.25,104.25,104.25,104.25,2021-10-13,104.25,1634094000,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104.25,104.25,104.25,104.25,2021-10-14,104.25,1634180400,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104.25,104.5,104.25,104.5,2021-10-15,104.5,1634266800,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104.5,104.5,104.5,104.5,2021-10-18,104.5,1634526000,0.54,0.54,0.54,0,0
"DOLAR OFICIAL",104.5,104.75,104.5,104.75,2021-10-19,104.75,1634612400,0.53,0.53,0.53,0,0
"DOLAR OFICIAL",104.75,104.75,104.75,104.75,2021-10-20,104.75,1634698800,0.53,0.53,0.53,0,0
"DOLAR OFICIAL",104.75,104.75,104.75,104.75,2021-10-21,104.75,1634785200,0.53,0.53,0.53,0,0
"DOLAR OFICIAL",104.75,104.75,104.75,104.75,2021-10-22,104.75,1634871600,0.52,0.52,0.52,0,0
"DOLAR OFICIAL",104.75,104.75,104.75,104.75,2021-10-25,104.75,1635130800,0.52,0.52,0.52,0,0
"DOLAR OFICIAL",104.75,104.75,104.75,104.75,2021-10-26,104.75,1635217200,0.52,0.52,0.52,0,0
"DOLAR OFICIAL",104.75,104.75,104.75,104.75,2021-10-27,104.75,1635303600,0.52,0.52,0.52,0,0
"DOLAR OFICIAL",104.75,105,104.75,105,2021-10-28,105,1635390000,0.51,0.51,0.51,0,0
